what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee,1.1.206.v200902052030,org.eclipse.jst.j2ee,1259204884140
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1259204884234
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1259204887796
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1259204888359
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259204890109
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259204896203
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259204897250
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1259204897281
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259204899390
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259204973656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259204974953
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259205047312
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259205055687
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259205055703
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259205055796
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259205101109
activated,view,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui.views.tasks,1259205101781
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259205248031
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259205248031
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259205248171
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259205262265
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259205263687
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1259205265281
started,bundle,org.eclipse.wst.ws.service.policy,1.0.3.v200811261813,org.eclipse.wst.ws.service.policy,1259205266437
started,bundle,org.eclipse.wst.command.env,1.0.308.v200811200248,org.eclipse.wst.command.env,1259205266984
