what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1262087582484
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1262087583421
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262087584328
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262087652625
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262087654031
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262087711015
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1262087711171
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1262087712343
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1262087712437
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1262087717718
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262087718984
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262088002125
activated,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1262088003828
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1262088003828
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262088005921
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262088103328
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262088104484
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262088153515
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1262088155609
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1262088155890
started,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1262088156000
opened,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.buildEditor,1262088156390
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.buildEditor,1262088156515
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1262088158281
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1262088159953
