what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1262756508656
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1262756509796
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1262756533171
executed,command,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.antShortcut.run,1262756535656
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1262756541406
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756553328
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756553656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756554796
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756567640
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756569093
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756573781
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756587234
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756589921
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1262756592765
activated,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1262756616828
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1262756648406
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1262756652765
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1262756659281
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756661046
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756662312
executed,command,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.antShortcut.run,1262756665500
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1262756671468
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756677890
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756708328
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756783625
