what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1262756016593
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756025781
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756099906
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756102062
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756130718
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1262756137265
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1262756140218
executed,command,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.antShortcut.run,1262756143671
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1262756149250
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1262756159687
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1262756213078
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756218625
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756243640
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756244078
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756255546
activated,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1262756300734
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756338953
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756423750
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1262756425203
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756431171
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756437781
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1262756439828
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756454250
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262756492640
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1262756508531
