what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1262089884781
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PropertiesFileEditor,1262089885046
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PropertiesFileEditor,1262089885109
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1262089888968
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PropertiesFileEditor,1262089889281
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1262089899281
executed,command,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.antShortcut.run,1262089901000
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262089902515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262090011359
executed,command,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.antShortcut.run,1262090018015
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262090021312
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262090636000
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262090643265
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262091236859
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1262091236890
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1262091236890
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262091238484
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262091240234
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1262091240328
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1262091240343
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1262091240406
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1262091240406
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1262091240671
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1262091241296
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1262091241312
