what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1259237521796
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1259237522093
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1259237523046
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1259237523062
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259237533031
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259237550953
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1259237550968
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259237554484
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1259237554625
started,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1259237554671
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1259237554718
started,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1259237557015
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1259237557031
executed,command,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.antShortcut.run,1259237557140
started,bundle,org.eclipse.ant.core,3.2.0.v20080529,org.eclipse.ant.core,1259237557218
started,bundle,org.eclipse.pde.build,3.4.1.R34x_v20081217,org.eclipse.pde.build,1259237557406
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1259237564421
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259237616453
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259237658531
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259237662968
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259237663078
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259237666437
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PropertiesFileEditor,1259237667281
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1259237670000
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259237671421
