what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.antShortcut.run,1259237676484
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1259237685718
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259237721031
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259237765234
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259237783015
started,bundle,org.eclipse.wst.ws.service.policy,1.0.3.v200811261813,org.eclipse.wst.ws.service.policy,1259237784640
started,bundle,org.eclipse.wst.command.env,1.0.308.v200811200248,org.eclipse.wst.command.env,1259237784734
started,bundle,org.eclipse.wst.ws,1.1.3.v200902042200,org.eclipse.wst.ws,1259237784734
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259237784921
started,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v200901170137,org.eclipse.datatools.enablement.jdt.classpath,1259237812687
started,bundle,org.eclipse.datatools.connectivity,1.1.2.v200901090028,org.eclipse.datatools.connectivity,1259237812765
started,bundle,org.eclipse.datatools.connectivity.ui,1.1.3.v200901150027,org.eclipse.datatools.connectivity.ui,1259237812765
started,bundle,org.eclipse.datatools.connectivity.apache.derby,1.0.3.v200902070611,org.eclipse.datatools.connectivity.apache.derby,1259237812906
started,bundle,org.eclipse.datatools.enablement.sybase.asa,1.0.1.v200901150020,org.eclipse.datatools.enablement.sybase.asa,1259237812921
started,bundle,org.eclipse.datatools.enablement.sybase.ase,1.0.1.v200901170012,org.eclipse.datatools.enablement.sybase.ase,1259237812968
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259237887234
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1259237887296
executed,command,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.antShortcut.run,1259237891859
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259237910328
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259237922562
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259237927140
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259237927328
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259237932828
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259238006703
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259238009406
